,director,first_actor,genres,rating,runtime,second_actor,title
1187,Satoshi Kon,Megumi Hayashibara,"[Animation, Mystery, Sci-Fi, Thriller]",7.7,90.0,Tôru Emori,Paprika
1188,Kar Wai Wong,Brigitte Lin,"[Drama, Mystery, Romance]",8.1,98.0,Takeshi Kaneshiro,Chungking Express
1189,Annabel Jankel,Rocky Morton,"[Adventure, Comedy, Family, Fantasy, Sci-Fi]",4.0,104.0,Bob Hoskins,Super Mario Bros.
1190,Ron Howard,Matthew McConaughey,[Comedy],6.1,122.0,Jenna Elfman,Edtv
1191,Jeremiah S. Chechik,Ralph Fiennes,"[Action, Adventure, Sci-Fi, Thriller]",3.6,89.0,Uma Thurman,The Avengers
1192,Michael Hoffman,Michelle Pfeiffer,"[Comedy, Drama, Romance]",6.4,108.0,George Clooney,One Fine Day
1193,Paul Weitz,Chris Massoglia,"[Action, Adventure, Fantasy, Thriller]",6.0,109.0,John C. Reilly,Cirque du Freak: The Vampire&#x27;s Assistant
1194,Jennifer Westfeldt,Jennifer Westfeldt,"[Comedy, Drama, Romance]",6.2,107.0,Adam Scott,Friends with Kids
1195,Jake Paltrow,Martin Freeman,"[Comedy, Drama, Fantasy, Music, Romance]",5.9,93.0,Gwyneth Paltrow,The Good Night
1196,David Raynr,Shane West,"[Comedy, Drama, Romance]",5.5,94.0,Marla Sokoloff,Whatever It Takes
1197,Anthony Abrams,Adam Larson Broder,"[Comedy, Drama, Romance, Sport]",6.3,113.0,Christina Ricci,Pumpkin
1198,Antonia Bird,Linus Roache,[Drama],7.3,105.0,Tom Wilkinson,Priest
1199,Brett Leonard,Adrian Paul,"[Action, Adventure, Fantasy, Sci-Fi]",3.0,86.0,Thekla Reuten,Highlander: The Source
1200,Jean-Pierre Dardenne,Luc Dardenne,[Drama],7.5,95.0,Émilie Dequenne,Rosetta
1201,Bronwen Hughes,Michelle Trachtenberg,"[Family, Comedy, Drama]",5.9,100.0,Rosie O'Donnell,Harriet the Spy
1202,Kathryn Bigelow,Catherine McCormack,"[Crime, Drama, Mystery, Thriller]",6.0,113.0,Sean Penn,The Weight of Water
1203,Catherine Breillat,Anaïs Reboux,[Drama],6.5,83.0,Roxane Mesquida,&#xC0; Ma Soeur!
1204,Mick Davis,Andy Garcia,"[Biography, Drama]",7.4,128.0,Elsa Zylberstein,Modigliani
1205,Salim Akil,Paula Patton,"[Comedy, Drama]",5.6,112.0,Laz Alonso,Jumping the Broom
1206,Siddiq Barmak,Marina Golbahari,[Drama],7.4,83.0,Zubaida Sahar,Osama
1207,Dagur Kári,Tómas Lemarquis,[Drama],7.4,93.0,Þröstur Leó Gunnarsson,Noi the Albino
1208,John Singleton,Janet Jackson,"[Drama, Romance]",5.8,109.0,Tupac Shakur,Poetic Justice
1209,Dennis Hopper,Don Johnson,"[Crime, Drama, Romance, Thriller]",6.4,130.0,Virginia Madsen,The Hot Spot
1210,Bruce A. Evans,Christian Slater,"[Action, Comedy, Crime]",5.7,102.0,Milla Jovovich,Kuffs
1211,Nora Ephron,Steve Martin,"[Comedy, Drama]",5.3,97.0,Madeline Kahn,Mixed Nuts
1212,Nicholas Jasenovec,Charlyne Yi,"[Comedy, Drama, Romance]",6.0,88.0,Michael Cera,Paper Heart
1213,James Dearden,Ewan McGregor,"[Crime, Drama, History, Thriller]",6.3,101.0,Anna Friel,Rogue Trader
1214,Richard Linklater,Matthew McConaughey,"[Action, Crime, Drama, History, Western]",5.9,113.0,Ethan Hawke,The Newton Boys
1215,Chul-soo Jang,Yeong-hie Seo,"[Crime, Drama, Horror, Thriller]",7.3,115.0,Seong-won Ji,Bedevilled
1216,Bart Freundlich,Kristen Stewart,"[Comedy, Crime]",5.2,91.0,Sam Robards,Catch That Kid
1217,Eddy Terstall,Cees Geel,"[Comedy, Drama]",8.0,102.0,Marcel Hensema,Simon
1218,David E. Talbert,Ice Cube,"[Comedy, Crime, Drama]",4.1,96.0,Katt Williams,First Sunday
1219,Steven Soderbergh,Jeremy Irons,"[Comedy, Drama, Mystery, Sci-Fi, Thriller]",7.0,98.0,Theresa Russell,Kafka
1220,Jim Gillespie,Agnes Bruckner,[Horror],4.7,85.0,Jonathan Jackson,Venom
1221,Aziz Mirza,Shah Rukh Khan,"[Comedy, Drama, Musical, Romance]",7.0,163.0,Aditya Pancholi,Yes Boss
1222,Christian Duguay,Aidan Quinn,"[Action, Crime, Thriller]",6.9,119.0,Donald Sutherland,The Assignment
1223,Ferzan Ozpetek,Riccardo Scamarcio,"[Comedy, Drama, Romance]",7.2,110.0,Nicole Grimaudo,Loose Cannons
1224,Paul Andrew Williams,Lorraine Stanley,"[Crime, Drama, Thriller]",7.0,85.0,Georgia Groome,London to Brighton
1225,Stewart Hendler,Jennifer Shirley,"[Crime, Drama, Horror, Thriller]",5.8,94.0,Blake Woodruff,Whisper
1226,Paul Schrader,Stellan Skarsgård,"[Drama, Horror, Thriller]",5.4,117.0,Gabriel Mann,Dominion: Prequel to the Exorcist
1227,Sherry Hormann,Soraya Omar-Scego,"[Biography, Drama]",7.4,120.0,Idriss Abdillahi Houfaneh,Desert Flower
1228,Michael Haigney,Kunihiko Yuyama,"[Animation, Action, Adventure, Family, Fantasy, Sci-Fi]",5.3,93.0,Rica Matsumoto,Gekij&#xF4;-ban poketto monsut&#xE2;: Kessh&#xF4;-t&#xF4; no tei&#xF4;
1229,Bob Rafelson,Jack Nicholson,"[Crime, Drama, Thriller]",6.0,101.0,Michael Caine,Blood and Wine
1230,Hark Tsui,Tony Leung Ka Fai,"[Action, Adventure, Drama, Fantasy, Mystery]",6.6,123.0,Chao Deng,Detective Dee: Mystery of the Phantom Flame
1231,Paul Auster,Wayne Wang,[Comedy],6.7,83.0,Harvey Keitel,Blue in the Face
1232,Béla Tarr,Ágnes Hranitzky,"[Drama, Mystery]",8.2,145.0,Lars Rudolph,Werckmeister Harmonies
1233,Joel Anderson,Rosie Traynor,"[Drama, Horror, Mystery, Thriller]",6.1,87.0,David Pledger,Lake Mungo
1234,Erik White,Shad Moss,[Comedy],4.7,99.0,Brandon T. Jackson,Lottery Ticket
1235,Brett Simmons,Devon Graye,"[Drama, Horror, Thriller]",5.1,83.0,Wes Chatham,Husk
1236,J.S. Cardone,Kerr Smith,"[Horror, Thriller]",5.3,90.0,Brendan Fehr,The Forsaken
1237,Wilson Yip,Simon Yam,"[Action, Crime, Drama, Thriller]",7.2,93.0,Donnie Yen,SPL: Kill Zone
1238,Francis Ford Coppola,Val Kilmer,"[Horror, Thriller]",4.9,88.0,Bruce Dern,Twixt
1239,Alan Shapiro,Paul Hogan,"[Family, Adventure]",5.1,95.0,Elijah Wood,Flipper
1240,Arthur Hiller,John Goodman,"[Biography, Drama, Sport]",5.8,115.0,Kelly McGillis,The Babe
1241,Adrian Edmondson,Rik Mayall,"[Comedy, Thriller]",6.0,89.0,Adrian Edmondson,Guest House Paradiso
1242,Michael Gottlieb,Hulk Hogan,"[Action, Comedy, Family]",3.5,84.0,Sherman Hemsley,Mr. Nanny
1243,Alexandre de La Patellière,Matthieu Delaporte,"[Comedy, Drama]",7.3,109.0,Patrick Bruel,What&#x27;s in a Name
1244,Tony Maylam,Rutger Hauer,"[Action, Crime, Horror, Sci-Fi, Thriller]",6.2,90.0,Kim Cattrall,Split Second
1245,Ang Lee,Demetri Martin,"[Comedy, Drama, Music]",6.7,120.0,Henry Goodman,Taking Woodstock
1246,Luc Besson,Freddie Highmore,"[Animation, Adventure, Family, Fantasy]",6.0,94.0,Mia Farrow,Arthur et les Minimoys
1247,Simon Hunter,Thomas Jane,"[Action, Adventure, Horror, Sci-Fi]",5.3,111.0,Ron Perlman,Mutant Chronicles
1248,Roman Polanski,Barney Clark,"[Crime, Drama]",6.9,130.0,Ben Kingsley,Oliver Twist
1249,Jonathan Levine,Amber Heard,[Horror],5.6,90.0,Anson Mount,All the Boys Love Mandy Lane
1250,Luc Besson,Rie Rasmussen,"[Comedy, Drama, Fantasy, Romance]",7.1,91.0,Jamel Debbouze,Angel-A
1251,Blair Hayes,Jake Gyllenhaal,"[Adventure, Biography, Comedy, Romance, Sci-Fi]",5.6,84.0,Swoosie Kurtz,Bubble Boy
1252,Kevin Lima,Glenn Close,"[Adventure, Comedy, Family]",4.8,100.0,Gérard Depardieu,102 Dalmatians
1253,Phillip Noyce,Michael Caine,"[Drama, Mystery, Romance, Thriller, War]",7.1,101.0,Brendan Fraser,The Quiet American
1254,Steven Soderbergh,Terence Stamp,"[Crime, Drama, Mystery, Thriller]",7.1,89.0,Peter Fonda,The Limey
1255,Pierre Salvadori,Audrey Tautou,"[Comedy, Romance]",7.1,106.0,Gad Elmaleh,Priceless
1256,Lee Tamahori,Rena Owen,"[Crime, Drama]",8.0,102.0,Temuera Morrison,Once Were Warriors
1257,Woody Allen,Woody Allen,"[Comedy, Romance]",6.4,108.0,Jason Biggs,Anything Else
1258,Mic Rodgers,Jean-Claude Van Damme,"[Action, Sci-Fi]",4.0,83.0,Bill Goldberg,Universal Soldier: The Return
1259,Ernie Barbarash,Zachary Bennett,"[Mystery, Sci-Fi, Thriller]",5.7,97.0,Stephanie Moore,Cube Zero
1260,Niels Mueller,Sean Penn,"[Biography, Drama]",7.0,95.0,Naomi Watts,The Assassination of Richard Nixon
1261,Clint Eastwood,Clint Eastwood,"[Crime, Drama, Mystery, Thriller]",6.5,127.0,Isaiah Washington,True Crime
1262,Barry Levinson,Robert De Niro,"[Comedy, Drama]",5.7,104.0,John Turturro,What Just Happened
1263,Kim Jee-woon,Kang-ho Song,"[Action, Adventure, Comedy, War]",7.3,136.0,Byung-hun Lee,"The Good, the Bad, the Weird"
1264,Brandon Camp,Jennifer Aniston,"[Drama, Romance]",5.6,109.0,Aaron Eckhart,Love Happens
1265,Gregory Widen,Christopher Walken,"[Action, Fantasy, Horror, Mystery, Thriller]",6.6,98.0,Elias Koteas,The Prophecy
1266,Makoto Kamiya,Paul Mercier,"[Animation, Action, Horror, Sci-Fi, Thriller]",6.6,97.0,Alyson Court,Biohazard: Degeneration
1267,Oliver Stone,Anthony Hopkins,"[Biography, Drama]",7.1,192.0,Joan Allen,Nixon
1268,Karan Johar,Shah Rukh Khan,"[Comedy, Musical, Romance]",7.9,177.0,Kajol,Kuch Kuch Hota Hai
1269,Hideo Nakata,Hitomi Kuroki,"[Drama, Horror, Mystery, Thriller]",6.7,101.0,Rio Kanno,Dark Water
1270,Måns Mårlind,Björn Stein,"[Horror, Mystery, Thriller]",6.1,112.0,Julianne Moore,Shelter
1271,Alan Metter,G.W. Bailey,"[Comedy, Crime]",3.1,83.0,George Gaynes,Police Academy: Mission to Moscow
1272,Hark Tsui,Jean-Claude Van Damme,"[Action, Comedy, Sci-Fi, Thriller]",4.6,93.0,Dennis Rodman,Double Team
1273,Larry Clark,Edward Lachman,[Drama],5.9,96.0,Adam Chubbuck,Ken Park
1274,Harald Zwart,Frankie Muniz,"[Action, Adventure, Comedy, Crime, Family, Romance, Thriller]",5.0,102.0,Hilary Duff,Agent Cody Banks
1275,Harold Ramis,Michael Keaton,"[Comedy, Romance, Sci-Fi]",5.9,117.0,Andie MacDowell,Multiplicity
1276,John Landis,Dan Aykroyd,"[Action, Comedy, Crime, Music]",4.8,123.0,John Goodman,Blues Brothers 2000
1277,Sean Byrne,Xavier Samuel,"[Crime, Drama, Horror, Thriller]",6.7,84.0,Robin McLeavy,The Loved Ones
1278,David Von Ancken,Pierce Brosnan,"[Action, Drama, Thriller, War, Western]",6.8,115.0,Liam Neeson,Seraphim Falls
1279,Susanne Bier,Halle Berry,[Drama],7.2,118.0,Benicio Del Toro,Things We Lost in the Fire
1280,Victor Salva,Mary Steenburgen,"[Drama, Fantasy, Mystery, Sci-Fi, Thriller]",6.5,111.0,Sean Patrick Flanery,Powder
1281,Chris Sivertson,Lindsay Lohan,"[Crime, Mystery, Thriller]",3.6,105.0,Julia Ormond,I Know Who Killed Me
1282,Tim Blake Nelson,Edward Norton,"[Comedy, Crime, Drama, Thriller]",6.5,105.0,Keri Russell,Leaves of Grass
1283,Mamoru Oshii,Akio Ôtsuka,"[Animation, Drama, Sci-Fi, Thriller]",7.6,100.0,Atsuko Tanaka,Ghost in the Shell 2: Innocence
1284,Richard Berry,Jean Reno,"[Action, Crime, Thriller]",6.7,117.0,Kad Merad,22 Bullets
1285,Rachel Talalay,Lori Petty,"[Action, Comedy, Sci-Fi]",5.1,104.0,Ice-T,Tank Girl
1286,David Bowers,Freddie Highmore,"[Animation, Action, Family, Sci-Fi]",6.4,94.0,Nicolas Cage,Astro Boy
1287,Paul Weitz,Hugh Grant,"[Comedy, Music]",5.5,107.0,Dennis Quaid,American Dreamz
1288,Antoine Fuqua,Yun-Fat Chow,"[Action, Crime, Drama, Thriller]",6.1,87.0,Mira Sorvino,The Replacement Killers
1289,John Boorman,Pierce Brosnan,"[Drama, Thriller]",6.1,109.0,Geoffrey Rush,The Tailor of Panama
1290,Tommy O'Haver,Ellen Page,"[Biography, Crime, Drama]",7.4,98.0,Hayley McFarland,An American Crime
1291,Bobby Farrelly,Peter Farrelly,"[Animation, Action, Adventure, Comedy, Family, Fantasy]",6.2,95.0,Laurence Fishburne,Osmosis Jones
1292,David Wain,Janeane Garofalo,"[Comedy, Romance]",6.7,97.0,David Hyde Pierce,Wet Hot American Summer
1293,Joseph Kahn,Martin Henderson,"[Action, Thriller]",3.9,84.0,Ice Cube,Torque
1294,Claudio Fragasso,Michael Stephenson,"[Comedy, Fantasy, Horror]",2.6,95.0,George Hardy,Troll 2
1295,Donal Lardner Ward,Donal Lardner Ward,"[Comedy, Drama]",4.3,81.0,Tony Guma,The Suburbans
1296,Maria Ripoll,Lena Headey,"[Comedy, Drama, Romance]",6.5,91.0,Douglas Henshall,If Only...
1297,Marko Mäkilaakso,Andrew Tiernan,"[Action, Adventure, Horror, Sci-Fi, Thriller, War]",4.1,86.0,Jouko Ahola,War of the Dead
1298,S. Shankar,Arjun,"[Action, Drama, Thriller]",8.0,169.0,Manisha Koirala,Mudhalvan
1299,John Duigan,Jessica Alba,"[Crime, Thriller]",3.9,93.0,Iain Glen,Paranoid
1300,Gianni Amelio,Kim Rossi Stuart,[Drama],7.2,105.0,Andrea Rossi,The Keys to the House
1301,Paolo Virzì,Alice Teghil,"[Comedy, Drama]",6.9,107.0,Sergio Castellitto,Caterina in the Big City
1302,Kenneth Branagh,Michael Maloney,[Comedy],7.4,99.0,Richard Briers,In the Bleak Midwinter
1303,S. Shankar,Prashanth,"[Comedy, Drama, Romance, Musical]",6.2,175.0,Aishwarya Rai Bachchan,Jeans
1304,Philippe Garrel,Louis Garrel,"[Drama, Romance]",7.1,183.0,Clotilde Hesme,Regular Lovers
1305,Tayfun Güneyer,Ferhan Sensoy,[Comedy],5.9,107.0,Asuman Dabak,Sans kapiyi kirinca
1306,Nicolo Donato,Thure Lindhardt,[Drama],7.1,97.0,David Dencik,Brotherhood
1307,Jorge Sánchez-Cabezudo,Carmelo Gómez,"[Crime, Drama, Thriller]",7.2,123.0,Judith Diakhate,The Night of the Sunflowers
1308,Ken Loach,Dean Andrews,"[Comedy, Drama]",7.0,96.0,Thomas Craig,The Navigators
1309,Donald Petrie,Harley Jane Kozak,"[Comedy, Romance]",5.2,97.0,Elizabeth McGovern,The Favour
1310,Conor McMahon,Marian Araujo,"[Action, Comedy, Horror, Sci-Fi]",4.9,80.0,David Muyllaert,Dead Meat
1311,Aharon Keshales,Navot Papushado,[Horror],5.9,90.0,Lior Ashkenazi,Kalevet
1312,Gregory Mosher,Vince Vaughn,[Drama],6.2,98.0,Julia Ormond,The Prime Gig
1313,Margarethe von Trotta,Katja Riemann,"[Drama, War]",6.8,136.0,Maria Schrader,Rosenstrasse
1314,Andrew Bergman,Bette Midler,"[Biography, Comedy, Romance]",5.2,95.0,Nathan Lane,Isn&#x27;t She Great
1315,Alex Smith,Andrew J. Smith,"[Drama, Sport]",6.1,112.0,Ryan Gosling,The Slaughter Rule
1316,Hitoshi Matsumoto,Hitoshi Matsumoto,"[Comedy, Fantasy]",7.2,93.0,David Quintero,Symbol
1317,Cameron Cairnes,Colin Cairnes,"[Comedy, Horror]",5.9,91.0,Oliver Ackland,100 Bloody Acres
1318,David Robert Mitchell,Claire Sloma,"[Comedy, Drama]",6.2,96.0,Marlon Morton,The Myth of the American Sleepover
1319,Dror Soref,Simon Baker,[Thriller],4.8,96.0,Paz Vega,Not Forgotten
1320,Eduardo Sánchez,Amy Smart,"[Horror, Thriller]",4.7,87.0,Dennis Chan,Seventh Moon
1321,Xiaogang Feng,Guoli Zhang,[Drama],6.9,145.0,Hanyu Zhang,Back to 1942
1322,Gérard Lauzier,Gérard Depardieu,"[Comedy, Drama]",6.1,105.0,Marie Gillain,Mon Pere Ce Heros
1323,Michael Steinberg,Phoebe Cates,[Drama],5.6,95.0,Bridget Fonda,"Bodies, Rest &#x26; Motion"
1324,Zdravko Sotra,Vojin Cetkovic,"[Comedy, Drama]",7.1,104.0,Katarina Radivojevic,Zona Zamfirova
1325,Hyeong-Cheol Kang,Tae-hyun Cha,"[Comedy, Drama, Music]",7.3,108.0,Il-Kwon Ahn,Speed Scandal
1326,Ben Sombogaart,Karina Smulders,[Drama],7.1,130.0,Anna Drijver,Bride Flight
1327,Martin Curland,Taylor Handley,"[Comedy, Romance]",6.4,90.0,Dustin Seavey,Zerophilia
1328,Rolfe Kanefsky,Tiffany Shepis,"[Comedy, Horror, Thriller]",4.0,89.0,Blythe Metz,Nightmare Man
1329,Alexis Dos Santos,Déborah François,"[Comedy, Drama]",6.6,97.0,Fernando Tielve,Unmade Beds
1330,Radha Bharadwaj,Madeleine Stowe,"[Drama, Thriller]",7.3,89.0,Alan Rickman,Closet Land
1331,Tony Gatlif,Asia Argento,[Drama],6.7,103.0,Amira Casar,Transylvania
1332,Jean van de Velde,Danny de Munk,"[Comedy, Sport]",7.2,115.0,Antonie Kamerling,All Stars
1333,Hong-jin Na,Jung-woo Ha,"[Crime, Drama, Thriller]",7.4,157.0,Yun-seok Kim,The Yellow Sea
1334,Mike Birbiglia,Seth Barrish,[Comedy],6.8,81.0,Mike Birbiglia,Sleepwalk with Me
1335,Tyler Perry,Tyler Perry,"[Comedy, Drama, Romance]",4.8,107.0,Blair Underwood,Madea&#x27;s Family Reunion
1336,William Friedkin,David Caruso,"[Action, Crime, Drama, Thriller]",5.1,95.0,Linda Fiorentino,Jade
1337,Michael J. Bassett,Jamie Bell,"[Drama, Horror, War, Thriller]",6.0,94.0,Rúaidhrí Conroy,Deathwatch
1338,Nadine Labaki,Nadine Labaki,"[Comedy, Drama, Romance]",7.2,95.0,Joanna Moukarzel,Caramel
1339,Jeff Burr,Kate Hodge,"[Horror, Thriller]",5.1,85.0,Ken Foree,Leatherface: Texas Chainsaw Massacre III
1340,Lucky McKee,Lauren Birkell,"[Horror, Mystery, Thriller]",5.7,91.0,Agnes Bruckner,The Woods
1341,Richard Stanley,Dylan McDermott,"[Sci-Fi, Thriller]",5.9,94.0,Stacey Travis,Hardware
1342,Christine Jeffs,Gwyneth Paltrow,"[Biography, Drama, Romance]",6.3,110.0,Daniel Craig,Sylvia
1343,Fabrice Du Welz,Laurent Lucas,"[Drama, Horror]",6.2,88.0,Brigitte Lahaie,Calvaire
1344,Masayuki,Kazuya Tsurumaki,"[Animation, Action, Drama, Sci-Fi]",8.1,112.0,Kotono Mitsuishi,Evangelion: 2.0 You Can (Not) Advance
1345,Jeff Pollack,Duane Martin,"[Crime, Drama, Sport]",6.6,96.0,Tupac Shakur,Above the Rim
1346,Sally Potter,Tilda Swinton,"[Drama, Fantasy, Romance]",7.1,94.0,Billy Zane,Orlando
1347,Pedro Almodóvar,Peter Coyote,[Comedy],6.5,114.0,Verónica Forqué,Kika
1348,Robert Mandel,Tom Berenger,"[Action, Crime, Drama, Thriller]",5.8,114.0,Raymond Cruz,The Substitute
1349,Roger Michell,Rhys Ifans,"[Drama, Mystery, Romance, Thriller]",6.4,100.0,Daniel Craig,Enduring Love
1350,Richard Benjamin,Melanie Griffith,"[Comedy, Romance]",5.4,110.0,Ed Harris,Milk Money
1351,Ferzan Ozpetek,Giovanna Mezzogiorno,"[Drama, Romance]",7.4,106.0,Massimo Girotti,Facing Window
1352,Daniel Lee,Jet Li,"[Action, Adventure, Comedy, Crime, Sci-Fi, Thriller]",6.0,96.0,Ching Wan Lau,Black Mask
1353,Jodie Foster,Holly Hunter,"[Comedy, Drama, Romance]",6.6,103.0,Anne Bancroft,Home for the Holidays
1354,John Simpson,Katheryn Winnick,"[Horror, Thriller]",5.2,85.0,Laura Breckenridge,Amusement
1355,Eduardo Sánchez,Adam Kaufman,"[Horror, Sci-Fi, Thriller]",5.7,88.0,Catherine Mangan,Altered
1356,Tung-Shing Yee,Jackie Chan,"[Crime, Drama, Thriller]",7.1,119.0,Naoto Takenaka,Shinjuku Incident
1357,Marcos Siega,Evan Rachel Wood,"[Comedy, Drama]",6.6,104.0,Ron Livingston,Pretty Persuasion
1358,Nnegest Likké,Mo'Nique,[Comedy],2.9,99.0,Kendra C. Johnson,Phat Girlz
1359,Jake Scott,Robert Carlyle,"[Action, Adventure, Crime, Drama]",6.4,99.0,Jonny Lee Miller,Plunkett &#x26; Macleane
1360,Wai-keung Lau,Alan Mak,"[Action, Crime, Drama, Thriller]",7.0,118.0,Tony Chiu Wai Leung,Infernal Affairs 3
1361,Nikolai Müllerschön,Matthias Schweighöfer,"[Action, Adventure, Biography, Drama, Romance, War]",6.3,106.0,Lena Headey,The Red Baron
1362,Hannes Stöhr,Paul Kalkbrenner,"[Comedy, Drama, Music]",7.3,100.0,Rita Lengyel,Berlin Calling
1363,Ömer Vargi,Cem Yilmaz,"[Comedy, Drama]",8.2,107.0,Mazhar Alanson,Everything&#x27;s Gonna Be Great
1364,Shimit Amin,Ranbir Kapoor,"[Comedy, Drama]",7.5,150.0,Prem Chopra,Rocket Singh: Salesman of the Year
1365,Hugh Johnson,Cuba Gooding Jr.,"[Action, Adventure, Drama, Thriller]",5.2,102.0,Skeet Ulrich,Chill Factor
1366,Adam Bernstein,Julia Sweeney,[Comedy],2.6,77.0,Dave Foley,It&#x27;s Pat
1367,David Foenkinos,Stéphane Foenkinos,"[Comedy, Drama, Romance]",6.6,108.0,Audrey Tautou,Delicacy
1368,Kevin Rodney Sullivan,Ice Cube,"[Comedy, Drama]",5.6,106.0,Cedric the Entertainer,Barbershop 2: Back in Business
1369,Mars Callahan,Mars Callahan,"[Drama, Thriller]",7.0,99.0,Chazz Palminteri,Poolhall Junkies
1370,Spike Lee,Damon Wayans,"[Comedy, Drama, Music]",6.4,135.0,Savion Glover,Bamboozled
1371,Azazel Jacobs,John C. Reilly,"[Comedy, Drama]",6.5,105.0,Jacob Wysocki,Terri
1372,Madonna,Abbie Cornish,"[Drama, History, Romance]",6.1,119.0,James D'Arcy,W.E.
1373,Sanaa Hamri,Queen Latifah,"[Comedy, Romance, Sport]",5.7,100.0,Common,Just Wright
1374,Finn Taylor,Joseph Fiennes,"[Adventure, Comedy, Romance]",5.9,94.0,Winona Ryder,The Darwin Awards
1375,Anand Tucker,Emily Watson,"[Biography, Drama, Music]",7.3,121.0,Rachel Griffiths,Hilary and Jackie
1376,Rohit Shetty,Ajay Devgn,"[Action, Crime, Drama]",6.7,143.0,Kajal Agarwal,Singham
1377,Noboru Iguchi,Minase Yashiro,"[Comedy, Horror, Thriller]",6.0,96.0,Asami,The Machine Girl
1378,Jill Sprecher,Alan Arkin,[Drama],7.1,104.0,John Turturro,Thirteen Conversations About One Thing
1379,Kasi Lemmons,Don Cheadle,"[Biography, Drama, History, Music, War]",7.4,118.0,Chiwetel Ejiofor,Talk to Me
1380,Andrés Wood,Matías Quer,"[Biography, Drama]",7.8,121.0,Ariel Mateluna,Machuca
1381,Antoine Fuqua,Jamie Foxx,"[Action, Crime, Thriller]",5.7,119.0,David Morse,Bait
1382,Noel Clarke,Mark Davis,"[Crime, Thriller]",5.9,117.0,Emma Roberts,4.3.2.1.
1383,Alex Holdridge,Scoot McNairy,"[Comedy, Romance]",7.3,90.0,Sara Simmonds,In Search of a Midnight Kiss
1384,Pavel Lungin,Pyotr Mamonov,[Drama],8.0,112.0,Viktor Sukhorukov,The Island
1385,Harris Goldberg,Matthew Perry,[Drama],6.8,93.0,Lynn Collins,Numb
1386,Satish Kaushik,Salman Khan,[Romance],7.1,132.0,Bhoomika Chawla,Tere Naam
1387,Johnnie To,Louis Koo,"[Crime, Drama, Thriller]",7.1,100.0,Suet Lam,Election
1388,Steve Buscemi,Casey Affleck,"[Comedy, Drama]",6.6,91.0,Liv Tyler,Lonesome Jim
1389,Jonathan Prince,Jonathan Jackson,"[Adventure, Comedy]",5.8,96.0,Christopher Lloyd,Camp Nowhere
1390,Bronwen Hughes,Thomas Jane,"[Action, Biography, Crime, Drama]",7.3,111.0,David O'Hara,Stander
1391,John R. Cherry III,Jim Varney,"[Comedy, Crime, Family]",5.3,81.0,Gailard Sartain,Ernest Goes to Jail
1392,Bill Condon,Tony Todd,[Horror],5.3,93.0,Kelly Rowan,Candyman: Farewell to the Flesh
1393,Chris Columbus,John Candy,"[Comedy, Romance]",6.3,104.0,Maureen O'Hara,Only the Lonely
1394,Sharon Maguire,Michelle Williams,"[Drama, Romance, Thriller]",5.9,96.0,Ewan McGregor,Incendiary
1395,Keith Gordon,Peter Berg,"[Drama, War]",7.3,108.0,Kevin Dillon,A Midnight Clear
1396,James Marsh,Gael García Bernal,[Drama],6.7,105.0,William Hurt,The King
1397,Oliver Parker,Laurence Fishburne,"[Drama, Romance]",7.0,123.0,Kenneth Branagh,Othello
1398,Je-kyu Kang,Suk-kyu Han,"[Action, Crime, Drama, Mystery, Romance, Thriller]",6.7,125.0,Min-sik Choi,Swiri
1399,Paul Dinello,Amy Sedaris,[Comedy],6.0,97.0,Stephen Colbert,Strangers with Candy
1400,Tom Shankland,Stellan Skarsgård,"[Crime, Drama, Horror, Thriller]",5.7,104.0,Melissa George,w Delta z
1401,Lasse Spang Olsen,Kim Bodnia,"[Action, Comedy, Crime]",6.8,95.0,Torkel Petersson,Old Men in New Cars: In China They Eat Dogs II
1402,Ki-duk Kim,Jae-hyeon Jo,[Drama],6.9,100.0,Won Seo,Bad Guy
1403,Kelly Makin,Dave Foley,[Comedy],6.8,89.0,Bruce McCulloch,Kids in the Hall: Brain Candy
1404,Ram Gopal Varma,Ajay Devgn,"[Action, Crime, Thriller, Drama]",8.1,155.0,Mohanlal,Company
1405,David M. Evans,Sinbad,"[Family, Comedy]",5.0,101.0,Brock Pierce,First Kid
1406,Radu Mihaileanu,Lionel Abelanski,"[Comedy, Drama, War]",7.7,103.0,Rufus,Train of Life
1407,Nuri Bilge Ceylan,Ebru Ceylan,[Drama],7.3,101.0,Nuri Bilge Ceylan,Climates
1408,Christian Zübert,Lucas Gregorowicz,[Comedy],7.4,93.0,Moritz Bleibtreu,Lammbock
1409,Milan Luthria,Ajay Devgn,"[Crime, Drama, Romance]",7.4,134.0,Randeep Hooda,Once Upon a Time in Mumbai
1410,Werner Herzog,Michael Shannon,"[Drama, Thriller]",6.3,91.0,Willem Dafoe,"My Son, My Son, What Have Ye Done"
1411,Christopher McQuarrie,Tom Cruise,"[Action, Crime, Thriller]",7.0,130.0,Rosamund Pike,Jack Reacher
1412,Zach Braff,Zach Braff,"[Comedy, Drama, Romance]",7.6,102.0,Peter Sarsgaard,Garden State
1413,Roland Emmerich,Mel Gibson,"[Action, Drama, War]",7.1,165.0,Heath Ledger,The Patriot
1414,David Fincher,Jodie Foster,"[Drama, Thriller]",6.8,112.0,Kristen Stewart,Panic Room
1415,Adam McKay,Will Ferrell,[Comedy],6.9,98.0,John C. Reilly,Step Brothers
